"trainer/global_step","c3g-sam-base - loss/lpips_step","c3g-sam-base - loss/lpips_step__MIN","c3g-sam-base - loss/lpips_step__MAX","c3g-sam-base - _step","c3g-sam-base - _step__MIN","c3g-sam-base - _step__MAX"
"9","0.02355208434164524","0.02355208434164524","0.02355208434164524","12","12","12"
"19","0.024719303473830223","0.024719303473830223","0.024719303473830223","17","17","17"
"29","0.020899329334497452","0.020899329334497452","0.020899329334497452","22","22","22"
"39","0.02252328395843506","0.02252328395843506","0.02252328395843506","27","27","27"
"49","0.022066175937652588","0.022066175937652588","0.022066175937652588","32","32","32"
"59","0.028230780735611916","0.028230780735611916","0.028230780735611916","37","37","37"
"69","0.024489447474479675","0.024489447474479675","0.024489447474479675","42","42","42"
"79","0.023506825789809227","0.023506825789809227","0.023506825789809227","47","47","47"
"89","0.029302507638931274","0.029302507638931274","0.029302507638931274","52","52","52"
"99","0.029174331575632095","0.029174331575632095","0.029174331575632095","57","57","57"
"109","0.02909647487103939","0.02909647487103939","0.02909647487103939","62","62","62"
"119","0.018927549943327904","0.018927549943327904","0.018927549943327904","67","67","67"
"129","0.028295177966356277","0.028295177966356277","0.028295177966356277","72","72","72"
"139","0.03009910322725773","0.03009910322725773","0.03009910322725773","77","77","77"
"149","0.02586420811712742","0.02586420811712742","0.02586420811712742","82","82","82"
"159","0.029216015711426735","0.029216015711426735","0.029216015711426735","87","87","87"
"169","0.020115507766604424","0.020115507766604424","0.020115507766604424","92","92","92"
"179","0.025656169280409813","0.025656169280409813","0.025656169280409813","97","97","97"
"189","0.020398510619997978","0.020398510619997978","0.020398510619997978","102","102","102"
"199","0.025319332256913185","0.025319332256913185","0.025319332256913185","107","107","107"
"209","0.02267279662191868","0.02267279662191868","0.02267279662191868","112","112","112"
"219","0.02422446571290493","0.02422446571290493","0.02422446571290493","117","117","117"
"229","0.02625790797173977","0.02625790797173977","0.02625790797173977","122","122","122"
"239","0.028037000447511673","0.028037000447511673","0.028037000447511673","127","127","127"
"249","0.023506874218583107","0.023506874218583107","0.023506874218583107","132","132","132"
"259","0.030283207073807716","0.030283207073807716","0.030283207073807716","137","137","137"
"269","0.01852220855653286","0.01852220855653286","0.01852220855653286","143","143","143"
"279","0.022814763709902763","0.022814763709902763","0.022814763709902763","148","148","148"
"289","0.015000628307461739","0.015000628307461739","0.015000628307461739","153","153","153"
"299","0.014551541768014431","0.014551541768014431","0.014551541768014431","158","158","158"
"309","0.016413820907473564","0.016413820907473564","0.016413820907473564","163","163","163"
"319","0.017817405983805656","0.017817405983805656","0.017817405983805656","168","168","168"
"329","0.020371941849589348","0.020371941849589348","0.020371941849589348","173","173","173"
"339","0.025400925427675247","0.025400925427675247","0.025400925427675247","178","178","178"
"349","0.022223811596632004","0.022223811596632004","0.022223811596632004","183","183","183"
"359","0.026225075125694275","0.026225075125694275","0.026225075125694275","188","188","188"
"369","0.02870468609035015","0.02870468609035015","0.02870468609035015","193","193","193"
"379","0.025149768218398094","0.025149768218398094","0.025149768218398094","198","198","198"
"389","0.02543666958808899","0.02543666958808899","0.02543666958808899","203","203","203"
"399","0.030687926337122917","0.030687926337122917","0.030687926337122917","208","208","208"
"409","0.026158452033996582","0.026158452033996582","0.026158452033996582","213","213","213"
"419","0.02533474564552307","0.02533474564552307","0.02533474564552307","218","218","218"
"429","0.026320431381464005","0.026320431381464005","0.026320431381464005","223","223","223"
"439","0.024230370298027992","0.024230370298027992","0.024230370298027992","228","228","228"
"449","0.02196783944964409","0.02196783944964409","0.02196783944964409","233","233","233"
"459","0.02880539558827877","0.02880539558827877","0.02880539558827877","238","238","238"
"469","0.0233573317527771","0.0233573317527771","0.0233573317527771","243","243","243"
"479","0.026790428906679153","0.026790428906679153","0.026790428906679153","248","248","248"
"489","0.028999945148825645","0.028999945148825645","0.028999945148825645","253","253","253"
"499","0.022223928943276405","0.022223928943276405","0.022223928943276405","258","258","258"
"509","0.030333567410707474","0.030333567410707474","0.030333567410707474","296","296","296"
"519","0.028890684247016907","0.028890684247016907","0.028890684247016907","301","301","301"
"529","0.023221438750624657","0.023221438750624657","0.023221438750624657","306","306","306"
"539","0.01831808127462864","0.01831808127462864","0.01831808127462864","312","312","312"
"549","0.016635974869132042","0.016635974869132042","0.016635974869132042","317","317","317"
"559","0.017714250832796097","0.017714250832796097","0.017714250832796097","322","322","322"
"569","0.02052353136241436","0.02052353136241436","0.02052353136241436","327","327","327"
"579","0.016905827447772026","0.016905827447772026","0.016905827447772026","332","332","332"
"589","0.015888188034296036","0.015888188034296036","0.015888188034296036","337","337","337"
"599","0.025261247530579567","0.025261247530579567","0.025261247530579567","342","342","342"
"609","0.03099724091589451","0.03099724091589451","0.03099724091589451","347","347","347"
"619","0.02645387127995491","0.02645387127995491","0.02645387127995491","352","352","352"
"629","0.024569649249315262","0.024569649249315262","0.024569649249315262","357","357","357"
"639","0.02759886346757412","0.02759886346757412","0.02759886346757412","362","362","362"
"649","0.030475908890366554","0.030475908890366554","0.030475908890366554","367","367","367"
"659","0.033573709428310394","0.033573709428310394","0.033573709428310394","372","372","372"
"669","0.02632124163210392","0.02632124163210392","0.02632124163210392","377","377","377"
"679","0.028780225664377213","0.028780225664377213","0.028780225664377213","382","382","382"
"689","0.026934463530778885","0.026934463530778885","0.026934463530778885","387","387","387"
"699","0.02208660915493965","0.02208660915493965","0.02208660915493965","392","392","392"
"709","0.026020606979727745","0.026020606979727745","0.026020606979727745","397","397","397"
"719","0.025307834148406982","0.025307834148406982","0.025307834148406982","402","402","402"
"729","0.02654240094125271","0.02654240094125271","0.02654240094125271","407","407","407"
"739","0.024089038372039795","0.024089038372039795","0.024089038372039795","412","412","412"
"749","0.028793996199965477","0.028793996199965477","0.028793996199965477","417","417","417"
"759","0.02460707537829876","0.02460707537829876","0.02460707537829876","422","422","422"
"769","0.027252966538071632","0.027252966538071632","0.027252966538071632","427","427","427"
"779","0.026133928447961807","0.026133928447961807","0.026133928447961807","432","432","432"
"789","0.027060378342866898","0.027060378342866898","0.027060378342866898","437","437","437"
"799","0.023570915684103966","0.023570915684103966","0.023570915684103966","442","442","442"
"809","0.018295789137482643","0.018295789137482643","0.018295789137482643","448","448","448"
"819","0.01748720370233059","0.01748720370233059","0.01748720370233059","453","453","453"
"829","0.018607622012495995","0.018607622012495995","0.018607622012495995","458","458","458"
"839","0.016217509284615517","0.016217509284615517","0.016217509284615517","463","463","463"
"849","0.016379719600081444","0.016379719600081444","0.016379719600081444","468","468","468"
"859","0.01581663265824318","0.01581663265824318","0.01581663265824318","473","473","473"
"869","0.028874164447188377","0.028874164447188377","0.028874164447188377","478","478","478"
"879","0.03140360116958618","0.03140360116958618","0.03140360116958618","483","483","483"
"889","0.023923074826598167","0.023923074826598167","0.023923074826598167","488","488","488"
"899","0.02175149880349636","0.02175149880349636","0.02175149880349636","493","493","493"
"909","0.033173952251672745","0.033173952251672745","0.033173952251672745","498","498","498"
"919","0.03323332592844963","0.03323332592844963","0.03323332592844963","503","503","503"
"929","0.03591560944914818","0.03591560944914818","0.03591560944914818","508","508","508"
"939","0.030385339632630348","0.030385339632630348","0.030385339632630348","513","513","513"
"949","0.032489433884620667","0.032489433884620667","0.032489433884620667","518","518","518"
"959","0.03424910828471184","0.03424910828471184","0.03424910828471184","523","523","523"
"969","0.03029128722846508","0.03029128722846508","0.03029128722846508","528","528","528"
"979","0.03244204446673393","0.03244204446673393","0.03244204446673393","533","533","533"
"989","0.03561009094119072","0.03561009094119072","0.03561009094119072","538","538","538"
"999","0.03580215200781822","0.03580215200781822","0.03580215200781822","543","543","543"
"1009","0.03609329089522362","0.03609329089522362","0.03609329089522362","581","581","581"
"1019","0.03552788123488426","0.03552788123488426","0.03552788123488426","586","586","586"
