"trainer/global_step","c3g-sam-base - loss/mse_step","c3g-sam-base - loss/mse_step__MIN","c3g-sam-base - loss/mse_step__MAX","c3g-sam-base - _step","c3g-sam-base - _step__MIN","c3g-sam-base - _step__MAX"
"9","0.034398023039102554","0.034398023039102554","0.034398023039102554","12","12","12"
"19","0.04418592527508736","0.04418592527508736","0.04418592527508736","17","17","17"
"29","0.029398122802376747","0.029398122802376747","0.029398122802376747","22","22","22"
"39","0.014043226838111877","0.014043226838111877","0.014043226838111877","27","27","27"
"49","0.02459348738193512","0.02459348738193512","0.02459348738193512","32","32","32"
"59","0.1404014676809311","0.1404014676809311","0.1404014676809311","37","37","37"
"69","0.027242833748459816","0.027242833748459816","0.027242833748459816","42","42","42"
"79","0.017892397940158844","0.017892397940158844","0.017892397940158844","47","47","47"
"89","0.054835159331560135","0.054835159331560135","0.054835159331560135","52","52","52"
"99","0.045810993760824203","0.045810993760824203","0.045810993760824203","57","57","57"
"109","0.050112877041101456","0.050112877041101456","0.050112877041101456","62","62","62"
"119","0.013772398233413696","0.013772398233413696","0.013772398233413696","67","67","67"
"129","0.03724776208400726","0.03724776208400726","0.03724776208400726","72","72","72"
"139","0.04260846599936485","0.04260846599936485","0.04260846599936485","77","77","77"
"149","0.02421250008046627","0.02421250008046627","0.02421250008046627","82","82","82"
"159","0.03507545590400696","0.03507545590400696","0.03507545590400696","87","87","87"
"169","0.013814914040267467","0.013814914040267467","0.013814914040267467","92","92","92"
"179","0.060652073472738266","0.060652073472738266","0.060652073472738266","97","97","97"
"189","0.01115797832608223","0.01115797832608223","0.01115797832608223","102","102","102"
"199","0.023493142798542976","0.023493142798542976","0.023493142798542976","107","107","107"
"209","0.016515575349330902","0.016515575349330902","0.016515575349330902","112","112","112"
"219","0.054027386009693146","0.054027386009693146","0.054027386009693146","117","117","117"
"229","0.027933292090892792","0.027933292090892792","0.027933292090892792","122","122","122"
"239","0.06230344623327255","0.06230344623327255","0.06230344623327255","127","127","127"
"249","0.01528988592326641","0.01528988592326641","0.01528988592326641","132","132","132"
"259","0.04840229079127312","0.04840229079127312","0.04840229079127312","137","137","137"
"269","0.011718517169356346","0.011718517169356346","0.011718517169356346","143","143","143"
"279","0.024863963946700096","0.024863963946700096","0.024863963946700096","148","148","148"
"289","0.011610271409153938","0.011610271409153938","0.011610271409153938","153","153","153"
"299","0.009787491522729397","0.009787491522729397","0.009787491522729397","158","158","158"
"309","0.00792395044118166","0.00792395044118166","0.00792395044118166","163","163","163"
"319","0.011659650132060051","0.011659650132060051","0.011659650132060051","168","168","168"
"329","0.010593222454190254","0.010593222454190254","0.010593222454190254","173","173","173"
"339","0.02410358004271984","0.02410358004271984","0.02410358004271984","178","178","178"
"349","0.012041762471199036","0.012041762471199036","0.012041762471199036","183","183","183"
"359","0.04283687472343445","0.04283687472343445","0.04283687472343445","188","188","188"
"369","0.041807495057582855","0.041807495057582855","0.041807495057582855","193","193","193"
"379","0.03288589417934418","0.03288589417934418","0.03288589417934418","198","198","198"
"389","0.030252136290073395","0.030252136290073395","0.030252136290073395","203","203","203"
"399","0.04591551795601845","0.04591551795601845","0.04591551795601845","208","208","208"
"409","0.03711161017417908","0.03711161017417908","0.03711161017417908","213","213","213"
"419","0.028722653165459633","0.028722653165459633","0.028722653165459633","218","218","218"
"429","0.037581246346235275","0.037581246346235275","0.037581246346235275","223","223","223"
"439","0.02169966697692871","0.02169966697692871","0.02169966697692871","228","228","228"
"449","0.02354142628610134","0.02354142628610134","0.02354142628610134","233","233","233"
"459","0.018329884856939316","0.018329884856939316","0.018329884856939316","238","238","238"
"469","0.0342048779129982","0.0342048779129982","0.0342048779129982","243","243","243"
"479","0.02220671810209751","0.02220671810209751","0.02220671810209751","248","248","248"
"489","0.039867520332336426","0.039867520332336426","0.039867520332336426","253","253","253"
"499","0.016893327236175537","0.016893327236175537","0.016893327236175537","258","258","258"
"509","0.02991057187318802","0.02991057187318802","0.02991057187318802","296","296","296"
"519","0.027752846479415894","0.027752846479415894","0.027752846479415894","301","301","301"
"529","0.02343616634607315","0.02343616634607315","0.02343616634607315","306","306","306"
"539","0.006261253729462624","0.006261253729462624","0.006261253729462624","312","312","312"
"549","0.008761141449213028","0.008761141449213028","0.008761141449213028","317","317","317"
"559","0.011732703074812889","0.011732703074812889","0.011732703074812889","322","322","322"
"569","0.009158218279480934","0.009158218279480934","0.009158218279480934","327","327","327"
"579","0.008817771449685097","0.008817771449685097","0.008817771449685097","332","332","332"
"589","0.003425551811233163","0.003425551811233163","0.003425551811233163","337","337","337"
"599","0.013905733823776245","0.013905733823776245","0.013905733823776245","342","342","342"
"609","0.06561052054166794","0.06561052054166794","0.06561052054166794","347","347","347"
"619","0.05965205281972885","0.05965205281972885","0.05965205281972885","352","352","352"
"629","0.02725711651146412","0.02725711651146412","0.02725711651146412","357","357","357"
"639","0.04084133356809616","0.04084133356809616","0.04084133356809616","362","362","362"
"649","0.058308783918619156","0.058308783918619156","0.058308783918619156","367","367","367"
"659","0.09493358433246613","0.09493358433246613","0.09493358433246613","372","372","372"
"669","0.037604112178087234","0.037604112178087234","0.037604112178087234","377","377","377"
"679","0.050897546112537384","0.050897546112537384","0.050897546112537384","382","382","382"
"689","0.02167680487036705","0.02167680487036705","0.02167680487036705","387","387","387"
"699","0.02398240566253662","0.02398240566253662","0.02398240566253662","392","392","392"
"709","0.030713779851794243","0.030713779851794243","0.030713779851794243","397","397","397"
"719","0.01662522181868553","0.01662522181868553","0.01662522181868553","402","402","402"
"729","0.038926418870687485","0.038926418870687485","0.038926418870687485","407","407","407"
"739","0.018530089408159256","0.018530089408159256","0.018530089408159256","412","412","412"
"749","0.03662809357047081","0.03662809357047081","0.03662809357047081","417","417","417"
"759","0.024845540523529053","0.024845540523529053","0.024845540523529053","422","422","422"
"769","0.026879658922553062","0.026879658922553062","0.026879658922553062","427","427","427"
"779","0.03155764564871788","0.03155764564871788","0.03155764564871788","432","432","432"
"789","0.027732251212000847","0.027732251212000847","0.027732251212000847","437","437","437"
"799","0.027045102789998055","0.027045102789998055","0.027045102789998055","442","442","442"
"809","0.012345468625426292","0.012345468625426292","0.012345468625426292","448","448","448"
"819","0.0032303358893841505","0.0032303358893841505","0.0032303358893841505","453","453","453"
"829","0.013081686571240425","0.013081686571240425","0.013081686571240425","458","458","458"
"839","0.008528060279786587","0.008528060279786587","0.008528060279786587","463","463","463"
"849","0.0036928891204297543","0.0036928891204297543","0.0036928891204297543","468","468","468"
"859","0.008364099077880383","0.008364099077880383","0.008364099077880383","473","473","473"
"869","0.03901204466819763","0.03901204466819763","0.03901204466819763","478","478","478"
"879","0.11296094208955765","0.11296094208955765","0.11296094208955765","483","483","483"
"889","0.024590816348791122","0.024590816348791122","0.024590816348791122","488","488","488"
"899","0.02205490507185459","0.02205490507185459","0.02205490507185459","493","493","493"
"909","0.08269771188497543","0.08269771188497543","0.08269771188497543","498","498","498"
"919","0.07444871962070465","0.07444871962070465","0.07444871962070465","503","503","503"
"929","0.07973514497280121","0.07973514497280121","0.07973514497280121","508","508","508"
"939","0.02937682904303074","0.02937682904303074","0.02937682904303074","513","513","513"
"949","0.04893321543931961","0.04893321543931961","0.04893321543931961","518","518","518"
"959","0.07439076155424118","0.07439076155424118","0.07439076155424118","523","523","523"
"969","0.03714526444673538","0.03714526444673538","0.03714526444673538","528","528","528"
"979","0.06605451554059982","0.06605451554059982","0.06605451554059982","533","533","533"
"989","0.10204774141311646","0.10204774141311646","0.10204774141311646","538","538","538"
"999","0.2930269241333008","0.2930269241333008","0.2930269241333008","543","543","543"
"1009","0.2827979326248169","0.2827979326248169","0.2827979326248169","581","581","581"
"1019","0.6144323945045471","0.6144323945045471","0.6144323945045471","586","586","586"
"1029","0.2933690547943115","0.2933690547943115","0.2933690547943115","591","591","591"
"1039","0.41691309213638306","0.41691309213638306","0.41691309213638306","596","596","596"
"1049","0.25141748785972595","0.25141748785972595","0.25141748785972595","601","601","601"
"1059","0.1565437912940979","0.1565437912940979","0.1565437912940979","606","606","606"
"1069","0.23761369287967682","0.23761369287967682","0.23761369287967682","611","611","611"
"1079","0.14954043924808502","0.14954043924808502","0.14954043924808502","617","617","617"
"1089","0.32352715730667114","0.32352715730667114","0.32352715730667114","622","622","622"
"1099","0.26869335770606995","0.26869335770606995","0.26869335770606995","627","627","627"
"1109","0.39615073800086975","0.39615073800086975","0.39615073800086975","632","632","632"
"1119","0.49471816420555115","0.49471816420555115","0.49471816420555115","637","637","637"
"1129","0.34340280294418335","0.34340280294418335","0.34340280294418335","642","642","642"
"1139","0.28614160418510437","0.28614160418510437","0.28614160418510437","647","647","647"
"1149","0.09333903342485428","0.09333903342485428","0.09333903342485428","652","652","652"
"1159","0.283437579870224","0.283437579870224","0.283437579870224","657","657","657"
"1169","0.2666681110858917","0.2666681110858917","0.2666681110858917","662","662","662"
"1179","0.4897414445877075","0.4897414445877075","0.4897414445877075","667","667","667"
"1189","0.21087922155857086","0.21087922155857086","0.21087922155857086","672","672","672"
"1199","0.22691303491592407","0.22691303491592407","0.22691303491592407","677","677","677"
"1209","0.23831580579280853","0.23831580579280853","0.23831580579280853","682","682","682"
"1219","0.2349349409341812","0.2349349409341812","0.2349349409341812","687","687","687"
"1229","0.3329101800918579","0.3329101800918579","0.3329101800918579","692","692","692"
"1239","0.2578893303871155","0.2578893303871155","0.2578893303871155","697","697","697"
"1249","0.18522149324417114","0.18522149324417114","0.18522149324417114","702","702","702"
"1259","0.43854472041130066","0.43854472041130066","0.43854472041130066","707","707","707"
"1269","0.4847201108932495","0.4847201108932495","0.4847201108932495","712","712","712"
"1279","0.12365622073411942","0.12365622073411942","0.12365622073411942","717","717","717"
"1289","0.22384129464626312","0.22384129464626312","0.22384129464626312","722","722","722"
"1299","0.3918115198612213","0.3918115198612213","0.3918115198612213","727","727","727"
"1309","0.2472223937511444","0.2472223937511444","0.2472223937511444","732","732","732"
"1319","0.1950891762971878","0.1950891762971878","0.1950891762971878","737","737","737"
"1329","0.22981151938438416","0.22981151938438416","0.22981151938438416","742","742","742"
"1339","0.14242517948150635","0.14242517948150635","0.14242517948150635","747","747","747"
"1349","0.29719972610473633","0.29719972610473633","0.29719972610473633","753","753","753"
"1359","0.0882721021771431","0.0882721021771431","0.0882721021771431","758","758","758"
"1369","0.26103341579437256","0.26103341579437256","0.26103341579437256","763","763","763"
"1379","0.2500353753566742","0.2500353753566742","0.2500353753566742","768","768","768"
"1389","0.2570757269859314","0.2570757269859314","0.2570757269859314","773","773","773"
"1399","0.4701533317565918","0.4701533317565918","0.4701533317565918","778","778","778"
"1409","0.2973901629447937","0.2973901629447937","0.2973901629447937","783","783","783"
"1419","0.28240931034088135","0.28240931034088135","0.28240931034088135","788","788","788"
"1429","0.3416599631309509","0.3416599631309509","0.3416599631309509","793","793","793"
"1439","0.2501084804534912","0.2501084804534912","0.2501084804534912","798","798","798"
"1449","0.23629799485206604","0.23629799485206604","0.23629799485206604","803","803","803"
"1459","0.18817947804927826","0.18817947804927826","0.18817947804927826","808","808","808"
"1469","0.19731655716896057","0.19731655716896057","0.19731655716896057","813","813","813"
"1479","0.21211718022823334","0.21211718022823334","0.21211718022823334","818","818","818"
"1489","0.14976738393306732","0.14976738393306732","0.14976738393306732","823","823","823"
"1499","0.30156582593917847","0.30156582593917847","0.30156582593917847","828","828","828"
"1509","0.25868716835975647","0.25868716835975647","0.25868716835975647","866","866","866"
"1519","0.1464482545852661","0.1464482545852661","0.1464482545852661","871","871","871"
"1529","0.2494005709886551","0.2494005709886551","0.2494005709886551","876","876","876"
"1539","0.2005036622285843","0.2005036622285843","0.2005036622285843","881","881","881"
"1549","0.28041884303092957","0.28041884303092957","0.28041884303092957","886","886","886"
"1559","0.26727423071861267","0.26727423071861267","0.26727423071861267","891","891","891"
"1569","0.1613617092370987","0.1613617092370987","0.1613617092370987","896","896","896"
"1579","0.2163148671388626","0.2163148671388626","0.2163148671388626","901","901","901"
"1589","0.1654427945613861","0.1654427945613861","0.1654427945613861","906","906","906"
"1599","0.18911923468112946","0.18911923468112946","0.18911923468112946","911","911","911"
"1609","0.16368581354618073","0.16368581354618073","0.16368581354618073","917","917","917"
"1619","0.25351184606552124","0.25351184606552124","0.25351184606552124","922","922","922"
"1629","0.19485539197921753","0.19485539197921753","0.19485539197921753","927","927","927"
"1639","0.19231680035591125","0.19231680035591125","0.19231680035591125","932","932","932"
"1649","0.19210116565227509","0.19210116565227509","0.19210116565227509","937","937","937"
"1659","0.17328967154026031","0.17328967154026031","0.17328967154026031","942","942","942"
"1669","0.44793546199798584","0.44793546199798584","0.44793546199798584","947","947","947"
"1679","0.18373282253742218","0.18373282253742218","0.18373282253742218","952","952","952"
"1689","0.1854553073644638","0.1854553073644638","0.1854553073644638","957","957","957"
"1699","0.22294968366622925","0.22294968366622925","0.22294968366622925","962","962","962"
"1709","0.29299139976501465","0.29299139976501465","0.29299139976501465","967","967","967"
"1719","0.3194926679134369","0.3194926679134369","0.3194926679134369","972","972","972"
"1729","0.5202683806419373","0.5202683806419373","0.5202683806419373","977","977","977"
"1739","0.3511078953742981","0.3511078953742981","0.3511078953742981","982","982","982"
"1749","0.14806342124938965","0.14806342124938965","0.14806342124938965","987","987","987"
"1759","0.18222999572753906","0.18222999572753906","0.18222999572753906","992","992","992"
"1769","0.19191187620162964","0.19191187620162964","0.19191187620162964","997","997","997"
"1779","0.43362319469451904","0.43362319469451904","0.43362319469451904","1002","1002","1002"
"1789","0.5570603609085083","0.5570603609085083","0.5570603609085083","1007","1007","1007"
"1799","0.2501351535320282","0.2501351535320282","0.2501351535320282","1012","1012","1012"
"1809","0.3218618929386139","0.3218618929386139","0.3218618929386139","1017","1017","1017"
"1819","0.20361891388893127","0.20361891388893127","0.20361891388893127","1022","1022","1022"
"1829","0.3233130872249603","0.3233130872249603","0.3233130872249603","1027","1027","1027"
"1839","0.3154519200325012","0.3154519200325012","0.3154519200325012","1032","1032","1032"
"1849","0.2530946135520935","0.2530946135520935","0.2530946135520935","1037","1037","1037"
"1859","0.20813395082950592","0.20813395082950592","0.20813395082950592","1042","1042","1042"
"1869","0.3376922607421875","0.3376922607421875","0.3376922607421875","1047","1047","1047"
"1879","0.28449347615242004","0.28449347615242004","0.28449347615242004","1053","1053","1053"
"1889","0.2964061200618744","0.2964061200618744","0.2964061200618744","1058","1058","1058"
"1899","0.397745281457901","0.397745281457901","0.397745281457901","1063","1063","1063"
"1909","0.2464349865913391","0.2464349865913391","0.2464349865913391","1068","1068","1068"
"1919","0.13556712865829468","0.13556712865829468","0.13556712865829468","1073","1073","1073"
"1929","0.23729382455348969","0.23729382455348969","0.23729382455348969","1078","1078","1078"
"1939","0.3314509093761444","0.3314509093761444","0.3314509093761444","1083","1083","1083"
"1949","0.12498010694980621","0.12498010694980621","0.12498010694980621","1088","1088","1088"
"1959","0.2111710160970688","0.2111710160970688","0.2111710160970688","1093","1093","1093"
"1969","0.5014751553535461","0.5014751553535461","0.5014751553535461","1098","1098","1098"
"1979","0.39342200756073","0.39342200756073","0.39342200756073","1103","1103","1103"
"1989","0.3209124505519867","0.3209124505519867","0.3209124505519867","1108","1108","1108"
"1999","0.21704962849617004","0.21704962849617004","0.21704962849617004","1113","1113","1113"
"2009","0.3515525460243225","0.3515525460243225","0.3515525460243225","1151","1151","1151"
"2019","0.3750998377799988","0.3750998377799988","0.3750998377799988","1156","1156","1156"
"2029","0.3538050353527069","0.3538050353527069","0.3538050353527069","1161","1161","1161"
"2039","0.14705586433410645","0.14705586433410645","0.14705586433410645","1166","1166","1166"
"2049","0.2591238021850586","0.2591238021850586","0.2591238021850586","1171","1171","1171"
"2059","0.223858043551445","0.223858043551445","0.223858043551445","1176","1176","1176"
"2069","0.3637775182723999","0.3637775182723999","0.3637775182723999","1181","1181","1181"
"2079","0.54085373878479","0.54085373878479","0.54085373878479","1186","1186","1186"
"2089","0.3197152018547058","0.3197152018547058","0.3197152018547058","1191","1191","1191"
"2099","0.26969170570373535","0.26969170570373535","0.26969170570373535","1196","1196","1196"
"2109","0.33455896377563477","0.33455896377563477","0.33455896377563477","1201","1201","1201"
"2119","0.22688093781471252","0.22688093781471252","0.22688093781471252","1206","1206","1206"
"2129","0.1419164389371872","0.1419164389371872","0.1419164389371872","1211","1211","1211"
"2139","0.31563600897789","0.31563600897789","0.31563600897789","1216","1216","1216"
"2149","0.3471028506755829","0.3471028506755829","0.3471028506755829","1222","1222","1222"
"2159","0.13698557019233704","0.13698557019233704","0.13698557019233704","1227","1227","1227"
"2169","0.26422590017318726","0.26422590017318726","0.26422590017318726","1232","1232","1232"
"2179","0.23233112692832947","0.23233112692832947","0.23233112692832947","1237","1237","1237"
"2189","0.4536152184009552","0.4536152184009552","0.4536152184009552","1242","1242","1242"
"2199","0.39385566115379333","0.39385566115379333","0.39385566115379333","1247","1247","1247"
"2209","0.32138198614120483","0.32138198614120483","0.32138198614120483","1252","1252","1252"
"2219","0.3473140597343445","0.3473140597343445","0.3473140597343445","1257","1257","1257"
"2229","0.23700453341007233","0.23700453341007233","0.23700453341007233","1262","1262","1262"
"2239","0.1466268002986908","0.1466268002986908","0.1466268002986908","1267","1267","1267"
"2249","0.27907997369766235","0.27907997369766235","0.27907997369766235","1272","1272","1272"
"2259","0.3207295835018158","0.3207295835018158","0.3207295835018158","1277","1277","1277"
"2269","0.2975802719593048","0.2975802719593048","0.2975802719593048","1282","1282","1282"
"2279","0.13612118363380432","0.13612118363380432","0.13612118363380432","1287","1287","1287"
"2289","0.5885275602340698","0.5885275602340698","0.5885275602340698","1292","1292","1292"
"2299","0.2267303764820099","0.2267303764820099","0.2267303764820099","1297","1297","1297"
"2309","0.10948257893323898","0.10948257893323898","0.10948257893323898","1302","1302","1302"
"2319","0.10339223593473434","0.10339223593473434","0.10339223593473434","1307","1307","1307"
"2329","0.16869962215423584","0.16869962215423584","0.16869962215423584","1312","1312","1312"
"2339","0.192901611328125","0.192901611328125","0.192901611328125","1317","1317","1317"
"2349","0.20051541924476624","0.20051541924476624","0.20051541924476624","1322","1322","1322"
