"trainer/global_step","c3g-sam-base - loss/prompted_segmentation_step","c3g-sam-base - loss/prompted_segmentation_step__MIN","c3g-sam-base - loss/prompted_segmentation_step__MAX","c3g-sam-base - _step","c3g-sam-base - _step__MIN","c3g-sam-base - _step__MAX"
"9","1.1374238729476929","1.1374238729476929","1.1374238729476929","12","12","12"
"19","0.9817396402359009","0.9817396402359009","0.9817396402359009","17","17","17"
"29","1.0058984756469727","1.0058984756469727","1.0058984756469727","22","22","22"
"39","1.2202168703079224","1.2202168703079224","1.2202168703079224","27","27","27"
"49","1.1169462203979492","1.1169462203979492","1.1169462203979492","32","32","32"
"59","0.8588089942932129","0.8588089942932129","0.8588089942932129","37","37","37"
"69","1.0331238508224487","1.0331238508224487","1.0331238508224487","42","42","42"
"79","0.7736049890518188","0.7736049890518188","0.7736049890518188","47","47","47"
"89","0.8651142716407776","0.8651142716407776","0.8651142716407776","52","52","52"
"99","1.0059900283813477","1.0059900283813477","1.0059900283813477","57","57","57"
"109","0.9420789480209351","0.9420789480209351","0.9420789480209351","62","62","62"
"119","1.0330750942230225","1.0330750942230225","1.0330750942230225","67","67","67"
"129","0.7345303297042847","0.7345303297042847","0.7345303297042847","72","72","72"
"139","0.7773627638816833","0.7773627638816833","0.7773627638816833","77","77","77"
"149","0.6855847239494324","0.6855847239494324","0.6855847239494324","82","82","82"
"159","0.9397403001785278","0.9397403001785278","0.9397403001785278","87","87","87"
"169","0.736016035079956","0.736016035079956","0.736016035079956","92","92","92"
"179","0.8340425491333008","0.8340425491333008","0.8340425491333008","97","97","97"
"189","0.9152554869651794","0.9152554869651794","0.9152554869651794","102","102","102"
"199","0.8325928449630737","0.8325928449630737","0.8325928449630737","107","107","107"
"209","0.6115223169326782","0.6115223169326782","0.6115223169326782","112","112","112"
"219","0.8335546255111694","0.8335546255111694","0.8335546255111694","117","117","117"
"229","0.8792847394943237","0.8792847394943237","0.8792847394943237","122","122","122"
"239","0.5977926850318909","0.5977926850318909","0.5977926850318909","127","127","127"
"249","0.5430759787559509","0.5430759787559509","0.5430759787559509","132","132","132"
"259","0.9855590462684631","0.9855590462684631","0.9855590462684631","137","137","137"
"269","0.5692203640937805","0.5692203640937805","0.5692203640937805","143","143","143"
"279","0.8010147213935852","0.8010147213935852","0.8010147213935852","148","148","148"
"289","0.6473197937011719","0.6473197937011719","0.6473197937011719","153","153","153"
"299","0.748424232006073","0.748424232006073","0.748424232006073","158","158","158"
"309","0.8843077421188354","0.8843077421188354","0.8843077421188354","163","163","163"
"319","0.45731574296951294","0.45731574296951294","0.45731574296951294","168","168","168"
"329","0.8807916641235352","0.8807916641235352","0.8807916641235352","173","173","173"
"339","0.6593905687332153","0.6593905687332153","0.6593905687332153","178","178","178"
"349","0.711122989654541","0.711122989654541","0.711122989654541","183","183","183"
"359","0.6629613637924194","0.6629613637924194","0.6629613637924194","188","188","188"
"369","0.7995411157608032","0.7995411157608032","0.7995411157608032","193","193","193"
"379","0.819914698600769","0.819914698600769","0.819914698600769","198","198","198"
"389","0.7080709934234619","0.7080709934234619","0.7080709934234619","203","203","203"
"399","0.8868411779403687","0.8868411779403687","0.8868411779403687","208","208","208"
"409","0.876611053943634","0.876611053943634","0.876611053943634","213","213","213"
"419","1.0278260707855225","1.0278260707855225","1.0278260707855225","218","218","218"
"429","0.7071866989135742","0.7071866989135742","0.7071866989135742","223","223","223"
"439","1.0427416563034058","1.0427416563034058","1.0427416563034058","228","228","228"
"449","0.47774791717529297","0.47774791717529297","0.47774791717529297","233","233","233"
"459","0.7295973896980286","0.7295973896980286","0.7295973896980286","238","238","238"
"469","0.831619381904602","0.831619381904602","0.831619381904602","243","243","243"
"479","0.8424481749534607","0.8424481749534607","0.8424481749534607","248","248","248"
"489","0.8369992971420288","0.8369992971420288","0.8369992971420288","253","253","253"
"499","0.7612004280090332","0.7612004280090332","0.7612004280090332","258","258","258"
"509","0.6377930045127869","0.6377930045127869","0.6377930045127869","296","296","296"
"519","0.8666311502456665","0.8666311502456665","0.8666311502456665","301","301","301"
"529","0.6164395213127136","0.6164395213127136","0.6164395213127136","306","306","306"
"539","0.682053804397583","0.682053804397583","0.682053804397583","312","312","312"
"549","0.4779919683933258","0.4779919683933258","0.4779919683933258","317","317","317"
"559","0.46375060081481934","0.46375060081481934","0.46375060081481934","322","322","322"
"569","0.7905486226081848","0.7905486226081848","0.7905486226081848","327","327","327"
"579","0.6965151429176331","0.6965151429176331","0.6965151429176331","332","332","332"
"589","0.3753379285335541","0.3753379285335541","0.3753379285335541","337","337","337"
"599","0.9500998258590698","0.9500998258590698","0.9500998258590698","342","342","342"
"609","0.7836623191833496","0.7836623191833496","0.7836623191833496","347","347","347"
"619","0.7280163764953613","0.7280163764953613","0.7280163764953613","352","352","352"
"629","0.6042934060096741","0.6042934060096741","0.6042934060096741","357","357","357"
"639","0.9713007211685181","0.9713007211685181","0.9713007211685181","362","362","362"
"649","0.9307864308357239","0.9307864308357239","0.9307864308357239","367","367","367"
"659","0.8667267560958862","0.8667267560958862","0.8667267560958862","372","372","372"
"669","0.6664495468139648","0.6664495468139648","0.6664495468139648","377","377","377"
"679","0.7820702195167542","0.7820702195167542","0.7820702195167542","382","382","382"
"689","0.6889654397964478","0.6889654397964478","0.6889654397964478","387","387","387"
"699","0.68792724609375","0.68792724609375","0.68792724609375","392","392","392"
"709","0.49891912937164307","0.49891912937164307","0.49891912937164307","397","397","397"
"719","0.5665520429611206","0.5665520429611206","0.5665520429611206","402","402","402"
"729","0.8705938458442688","0.8705938458442688","0.8705938458442688","407","407","407"
"739","0.6673067212104797","0.6673067212104797","0.6673067212104797","412","412","412"
"749","0.7024871110916138","0.7024871110916138","0.7024871110916138","417","417","417"
"759","0.8080187439918518","0.8080187439918518","0.8080187439918518","422","422","422"
"769","0.613645076751709","0.613645076751709","0.613645076751709","427","427","427"
"779","0.9339412450790405","0.9339412450790405","0.9339412450790405","432","432","432"
"789","1.0739232301712036","1.0739232301712036","1.0739232301712036","437","437","437"
"799","0.7612510323524475","0.7612510323524475","0.7612510323524475","442","442","442"
"809","0.5994533896446228","0.5994533896446228","0.5994533896446228","448","448","448"
"819","0.541028618812561","0.541028618812561","0.541028618812561","453","453","453"
"829","0.4528346657752991","0.4528346657752991","0.4528346657752991","458","458","458"
"839","0.5402172803878784","0.5402172803878784","0.5402172803878784","463","463","463"
"849","0.4785069227218628","0.4785069227218628","0.4785069227218628","468","468","468"
