"trainer/global_step","c3g-sam-base - loss/total_step","c3g-sam-base - loss/total_step__MIN","c3g-sam-base - loss/total_step__MAX","c3g-sam-base - _step","c3g-sam-base - _step__MIN","c3g-sam-base - _step__MAX"
"9","1.2052768468856812","1.2052768468856812","1.2052768468856812","12","12","12"
"19","1.0604373216629028","1.0604373216629028","1.0604373216629028","17","17","17"
"29","1.0656729936599731","1.0656729936599731","1.0656729936599731","22","22","22"
"39","1.2660433053970337","1.2660433053970337","1.2660433053970337","27","27","27"
"49","1.1728317737579346","1.1728317737579346","1.1728317737579346","32","32","32"
"59","1.0368620157241821","1.0368620157241821","1.0368620157241821","37","37","37"
"69","1.093863606452942","1.093863606452942","1.093863606452942","42","42","42"
"79","0.8234992027282715","0.8234992027282715","0.8234992027282715","47","47","47"
"89","0.9580742716789246","0.9580742716789246","0.9580742716789246","52","52","52"
"99","1.08950936794281","1.08950936794281","1.08950936794281","57","57","57"
"109","1.0302762985229492","1.0302762985229492","1.0302762985229492","62","62","62"
"119","1.0742267370224","1.0742267370224","1.0742267370224","67","67","67"
"129","0.808782696723938","0.808782696723938","0.808782696723938","72","72","72"
"139","0.8585869073867798","0.8585869073867798","0.8585869073867798","77","77","77"
"149","0.744164764881134","0.744164764881134","0.744164764881134","82","82","82"
"159","1.0127192735671997","1.0127192735671997","1.0127192735671997","87","87","87"
"169","0.7786195278167725","0.7786195278167725","0.7786195278167725","92","92","92"
"179","0.9289904832839966","0.9289904832839966","0.9289904832839966","97","97","97"
"189","0.955489993095398","0.955489993095398","0.955489993095398","102","102","102"
"199","0.8900473117828369","0.8900473117828369","0.8900473117828369","107","107","107"
"209","0.6592606902122498","0.6592606902122498","0.6592606902122498","112","112","112"
"219","0.9204104542732239","0.9204104542732239","0.9204104542732239","117","117","117"
"229","0.9422556161880493","0.9422556161880493","0.9422556161880493","122","122","122"
"239","0.696928858757019","0.696928858757019","0.696928858757019","127","127","127"
"249","0.5906385183334351","0.5906385183334351","0.5906385183334351","132","132","132"
"259","1.0730090141296387","1.0730090141296387","1.0730090141296387","137","137","137"
"269","0.6083654761314392","0.6083654761314392","0.6083654761314392","143","143","143"
"279","0.8573349118232727","0.8573349118232727","0.8573349118232727","148","148","148"
"289","0.6824452877044678","0.6824452877044678","0.6824452877044678","153","153","153"
"299","0.7811824679374695","0.7811824679374695","0.7811824679374695","158","158","158"
"309","0.9169961214065552","0.9169961214065552","0.9169961214065552","163","163","163"
"319","0.4951949715614319","0.4951949715614319","0.4951949715614319","168","168","168"
"329","0.9200993180274963","0.9200993180274963","0.9200993180274963","173","173","173"
"339","0.7174814939498901","0.7174814939498901","0.7174814939498901","178","178","178"
"349","0.7539657354354858","0.7539657354354858","0.7539657354354858","183","183","183"
"359","0.7407960891723633","0.7407960891723633","0.7407960891723633","188","188","188"
"369","0.8790634870529175","0.8790634870529175","0.8790634870529175","193","193","193"
"379","0.8864530324935913","0.8864530324935913","0.8864530324935913","198","198","198"
"389","0.7729138731956482","0.7729138731956482","0.7729138731956482","203","203","203"
"399","0.9720979928970337","0.9720979928970337","0.9720979928970337","208","208","208"
"409","0.9484384059906006","0.9484384059906006","0.9484384059906006","213","213","213"
"419","1.0906920433044434","1.0906920433044434","1.0906920433044434","218","218","218"
"429","0.779984176158905","0.779984176158905","0.779984176158905","223","223","223"
"439","1.0980159044265747","1.0980159044265747","1.0980159044265747","228","228","228"
"449","0.5315448045730591","0.5315448045730591","0.5315448045730591","233","233","233"
"459","0.7856130003929138","0.7856130003929138","0.7856130003929138","238","238","238"
"469","0.8978987336158752","0.8978987336158752","0.8978987336158752","243","243","243"
"479","0.8999643921852112","0.8999643921852112","0.8999643921852112","248","248","248"
"489","0.9147346019744873","0.9147346019744873","0.9147346019744873","253","253","253"
"499","0.80882728099823","0.80882728099823","0.80882728099823","258","258","258"
"509","0.7068267464637756","0.7068267464637756","0.7068267464637756","296","296","296"
"519","0.9321456551551819","0.9321456551551819","0.9321456551551819","301","301","301"
"529","0.6716431975364685","0.6716431975364685","0.6716431975364685","306","306","306"
"539","0.714991569519043","0.714991569519043","0.714991569519043","312","312","312"
"549","0.5117390155792236","0.5117390155792236","0.5117390155792236","317","317","317"
"559","0.5013315677642822","0.5013315677642822","0.5013315677642822","322","322","322"
"569","0.8285262584686279","0.8285262584686279","0.8285262584686279","327","327","327"
"579","0.7303287982940674","0.7303287982940674","0.7303287982940674","332","332","332"
"589","0.40267497301101685","0.40267497301101685","0.40267497301101685","337","337","337"
"599","0.9980030655860901","0.9980030655860901","0.9980030655860901","342","342","342"
"609","0.8895292282104492","0.8895292282104492","0.8895292282104492","347","347","347"
"619","0.8228800296783447","0.8228800296783447","0.8228800296783447","352","352","352"
"629","0.6647878885269165","0.6647878885269165","0.6647878885269165","357","357","357"
"639","1.048810362815857","1.048810362815857","1.048810362815857","362","362","362"
"649","1.0279914140701294","1.0279914140701294","1.0279914140701294","367","367","367"
"659","1.004116177558899","1.004116177558899","1.004116177558899","372","372","372"
"669","0.7396652102470398","0.7396652102470398","0.7396652102470398","377","377","377"
"679","0.8705078959465027","0.8705078959465027","0.8705078959465027","382","382","382"
"689","0.7459633350372314","0.7459633350372314","0.7459633350372314","387","387","387"
"699","0.742760181427002","0.742760181427002","0.742760181427002","392","392","392"
