"trainer/global_step","sam_distill_scannet - loss/feature_cosine_step","sam_distill_scannet - loss/feature_cosine_step__MIN","sam_distill_scannet - loss/feature_cosine_step__MAX","sam_distill_scannet - _step","sam_distill_scannet - _step__MIN","sam_distill_scannet - _step__MAX"
"9","0.9180906414985657","0.9180906414985657","0.9180906414985657","23","23","23"
"19","0.7293750047683716","0.7293750047683716","0.7293750047683716","41","41","41"
"29","0.5569928884506226","0.5569928884506226","0.5569928884506226","58","58","58"
"39","0.43101009726524353","0.43101009726524353","0.43101009726524353","75","75","75"
"49","0.38604646921157837","0.38604646921157837","0.38604646921157837","92","92","92"
"59","0.3938460052013397","0.3938460052013397","0.3938460052013397","118","118","118"
"69","0.4135247468948364","0.4135247468948364","0.4135247468948364","135","135","135"
"79","0.38883891701698303","0.38883891701698303","0.38883891701698303","152","152","152"
"89","0.41987958550453186","0.41987958550453186","0.41987958550453186","169","169","169"
"99","0.4145925045013428","0.4145925045013428","0.4145925045013428","187","187","187"
"109","0.3670109212398529","0.3670109212398529","0.3670109212398529","212","212","212"
"119","0.3221297860145569","0.3221297860145569","0.3221297860145569","229","229","229"
"129","0.3475147783756256","0.3475147783756256","0.3475147783756256","242","242","242"
"139","0.3171040117740631","0.3171040117740631","0.3171040117740631","260","260","260"
"149","0.3176738917827606","0.3176738917827606","0.3176738917827606","277","277","277"
"159","0.31355270743370056","0.31355270743370056","0.31355270743370056","302","302","302"
"169","0.2629665732383728","0.2629665732383728","0.2629665732383728","320","320","320"
"179","0.2855786085128784","0.2855786085128784","0.2855786085128784","337","337","337"
"189","0.2911330759525299","0.2911330759525299","0.2911330759525299","354","354","354"
"199","0.2834160029888153","0.2834160029888153","0.2834160029888153","371","371","371"
"209","0.2325126826763153","0.2325126826763153","0.2325126826763153","397","397","397"
"219","0.30324357748031616","0.30324357748031616","0.30324357748031616","414","414","414"
"229","0.2726932764053345","0.2726932764053345","0.2726932764053345","431","431","431"
"239","0.3198572099208832","0.3198572099208832","0.3198572099208832","448","448","448"
"249","0.23392990231513977","0.23392990231513977","0.23392990231513977","466","466","466"
"259","0.2589864134788513","0.2589864134788513","0.2589864134788513","486","486","486"
"269","0.3056265115737915","0.3056265115737915","0.3056265115737915","504","504","504"
"279","0.3457396924495697","0.3457396924495697","0.3457396924495697","521","521","521"
"289","0.2862372398376465","0.2862372398376465","0.2862372398376465","539","539","539"
"299","0.23158757388591766","0.23158757388591766","0.23158757388591766","556","556","556"
"309","0.2595638334751129","0.2595638334751129","0.2595638334751129","581","581","581"
"319","0.2697727084159851","0.2697727084159851","0.2697727084159851","598","598","598"
"329","0.28486841917037964","0.28486841917037964","0.28486841917037964","616","616","616"
"339","0.23370333015918732","0.23370333015918732","0.23370333015918732","633","633","633"
"349","0.30015891790390015","0.30015891790390015","0.30015891790390015","650","650","650"
"359","0.2944074869155884","0.2944074869155884","0.2944074869155884","671","671","671"
"369","0.29258859157562256","0.29258859157562256","0.29258859157562256","689","689","689"
"379","0.2188575267791748","0.2188575267791748","0.2188575267791748","706","706","706"
"389","0.2715505063533783","0.2715505063533783","0.2715505063533783","718","718","718"
"399","0.26583757996559143","0.26583757996559143","0.26583757996559143","736","736","736"
"409","0.33859893679618835","0.33859893679618835","0.33859893679618835","762","762","762"
"419","0.27701058983802795","0.27701058983802795","0.27701058983802795","779","779","779"
"429","0.20987850427627563","0.20987850427627563","0.20987850427627563","796","796","796"
"439","0.23995886743068695","0.23995886743068695","0.23995886743068695","813","813","813"
"449","0.29058054089546204","0.29058054089546204","0.29058054089546204","831","831","831"
"459","0.2865312695503235","0.2865312695503235","0.2865312695503235","856","856","856"
"469","0.21289587020874023","0.21289587020874023","0.21289587020874023","873","873","873"
"479","0.2617398202419281","0.2617398202419281","0.2617398202419281","890","890","890"
"489","0.27043741941452026","0.27043741941452026","0.27043741941452026","908","908","908"
"499","0.3119575083255768","0.3119575083255768","0.3119575083255768","925","925","925"
"509","0.21297197043895721","0.21297197043895721","0.21297197043895721","950","950","950"
"519","0.23949262499809265","0.23949262499809265","0.23949262499809265","963","963","963"
"529","0.26897820830345154","0.26897820830345154","0.26897820830345154","981","981","981"
"539","0.2644113600254059","0.2644113600254059","0.2644113600254059","998","998","998"
"549","0.30562373995780945","0.30562373995780945","0.30562373995780945","1015","1015","1015"
"559","0.206414595246315","0.206414595246315","0.206414595246315","1041","1041","1041"
"569","0.21154935657978058","0.21154935657978058","0.21154935657978058","1058","1058","1058"
"579","0.264383465051651","0.264383465051651","0.264383465051651","1075","1075","1075"
"589","0.2607989013195038","0.2607989013195038","0.2607989013195038","1092","1092","1092"
