"trainer/global_step","sam_distill_scannet - loss/feature_magnitude_step","sam_distill_scannet - loss/feature_magnitude_step__MIN","sam_distill_scannet - loss/feature_magnitude_step__MAX","sam_distill_scannet - _step","sam_distill_scannet - _step__MIN","sam_distill_scannet - _step__MAX"
"9","1.16544508934021","1.16544508934021","1.16544508934021","23","23","23"
"19","1.0570286512374878","1.0570286512374878","1.0570286512374878","41","41","41"
"29","0.7620810270309448","0.7620810270309448","0.7620810270309448","58","58","58"
"39","0.37474584579467773","0.37474584579467773","0.37474584579467773","75","75","75"
"49","0.18436916172504425","0.18436916172504425","0.18436916172504425","92","92","92"
"59","0.2084989696741104","0.2084989696741104","0.2084989696741104","118","118","118"
"69","0.2224625200033188","0.2224625200033188","0.2224625200033188","135","135","135"
"79","0.1845792680978775","0.1845792680978775","0.1845792680978775","152","152","152"
"89","0.35958173871040344","0.35958173871040344","0.35958173871040344","169","169","169"
"99","0.3157433569431305","0.3157433569431305","0.3157433569431305","187","187","187"
"109","0.20258574187755585","0.20258574187755585","0.20258574187755585","212","212","212"
"119","0.14514942467212677","0.14514942467212677","0.14514942467212677","229","229","229"
"129","0.2285083383321762","0.2285083383321762","0.2285083383321762","242","242","242"
"139","0.20980271697044373","0.20980271697044373","0.20980271697044373","260","260","260"
"149","0.1939474493265152","0.1939474493265152","0.1939474493265152","277","277","277"
"159","0.16272889077663422","0.16272889077663422","0.16272889077663422","302","302","302"
"169","0.17325514554977417","0.17325514554977417","0.17325514554977417","320","320","320"
"179","0.2299623042345047","0.2299623042345047","0.2299623042345047","337","337","337"
"189","0.19309169054031372","0.19309169054031372","0.19309169054031372","354","354","354"
"199","0.17025932669639587","0.17025932669639587","0.17025932669639587","371","371","371"
"209","0.15890325605869293","0.15890325605869293","0.15890325605869293","397","397","397"
"219","0.23447182774543762","0.23447182774543762","0.23447182774543762","414","414","414"
"229","0.18552270531654358","0.18552270531654358","0.18552270531654358","431","431","431"
"239","0.16881275177001953","0.16881275177001953","0.16881275177001953","448","448","448"
"249","0.1413153111934662","0.1413153111934662","0.1413153111934662","466","466","466"
"259","0.2118704468011856","0.2118704468011856","0.2118704468011856","486","486","486"
"269","0.19680118560791016","0.19680118560791016","0.19680118560791016","504","504","504"
"279","0.2779179811477661","0.2779179811477661","0.2779179811477661","521","521","521"
"289","0.2125067263841629","0.2125067263841629","0.2125067263841629","539","539","539"
"299","0.18513022363185883","0.18513022363185883","0.18513022363185883","556","556","556"
"309","0.14292800426483154","0.14292800426483154","0.14292800426483154","581","581","581"
"319","0.17315684258937836","0.17315684258937836","0.17315684258937836","598","598","598"
"329","0.171945258975029","0.171945258975029","0.171945258975029","616","616","616"
"339","0.1896708458662033","0.1896708458662033","0.1896708458662033","633","633","633"
"349","0.1555182933807373","0.1555182933807373","0.1555182933807373","650","650","650"
"359","0.16680921614170074","0.16680921614170074","0.16680921614170074","671","671","671"
"369","0.20296086370944977","0.20296086370944977","0.20296086370944977","689","689","689"
"379","0.1281108856201172","0.1281108856201172","0.1281108856201172","706","706","706"
"389","0.24078740179538727","0.24078740179538727","0.24078740179538727","718","718","718"
"399","0.17220835387706757","0.17220835387706757","0.17220835387706757","736","736","736"
"409","0.17545421421527863","0.17545421421527863","0.17545421421527863","762","762","762"
"419","0.12566252052783966","0.12566252052783966","0.12566252052783966","779","779","779"
"429","0.1742914766073227","0.1742914766073227","0.1742914766073227","796","796","796"
"439","0.1214098259806633","0.1214098259806633","0.1214098259806633","813","813","813"
"449","0.16258104145526886","0.16258104145526886","0.16258104145526886","831","831","831"
"459","0.1765844076871872","0.1765844076871872","0.1765844076871872","856","856","856"
"469","0.1445731669664383","0.1445731669664383","0.1445731669664383","873","873","873"
"479","0.17416299879550934","0.17416299879550934","0.17416299879550934","890","890","890"
"489","0.1563282310962677","0.1563282310962677","0.1563282310962677","908","908","908"
"499","0.19545091688632965","0.19545091688632965","0.19545091688632965","925","925","925"
"509","0.14886163175106049","0.14886163175106049","0.14886163175106049","950","950","950"
"519","0.14621372520923615","0.14621372520923615","0.14621372520923615","963","963","963"
"529","0.15407051146030426","0.15407051146030426","0.15407051146030426","981","981","981"
"539","0.16335321962833405","0.16335321962833405","0.16335321962833405","998","998","998"
"549","0.23860301077365875","0.23860301077365875","0.23860301077365875","1015","1015","1015"
"559","0.1479424685239792","0.1479424685239792","0.1479424685239792","1041","1041","1041"
"569","0.1270110309123993","0.1270110309123993","0.1270110309123993","1058","1058","1058"
"579","0.15747137367725372","0.15747137367725372","0.15747137367725372","1075","1075","1075"
"589","0.13562409579753876","0.13562409579753876","0.13562409579753876","1092","1092","1092"
"599","0.14433233439922333","0.14433233439922333","0.14433233439922333","1110","1110","1110"
"609","0.15363958477973938","0.15363958477973938","0.15363958477973938","1135","1135","1135"
"619","0.16329827904701233","0.16329827904701233","0.16329827904701233","1152","1152","1152"
"629","0.15328693389892578","0.15328693389892578","0.15328693389892578","1169","1169","1169"
"639","0.14478403329849243","0.14478403329849243","0.14478403329849243","1187","1187","1187"
"649","0.1284070909023285","0.1284070909023285","0.1284070909023285","1199","1199","1199"
"659","0.20352227985858917","0.20352227985858917","0.20352227985858917","1225","1225","1225"
"669","0.2676272988319397","0.2676272988319397","0.2676272988319397","1242","1242","1242"
"679","0.1334160715341568","0.1334160715341568","0.1334160715341568","1260","1260","1260"
"689","0.12740586698055267","0.12740586698055267","0.12740586698055267","1277","1277","1277"
"699","0.15277759730815887","0.15277759730815887","0.15277759730815887","1294","1294","1294"
"709","0.14618487656116486","0.14618487656116486","0.14618487656116486","1319","1319","1319"
"719","0.12852385640144348","0.12852385640144348","0.12852385640144348","1337","1337","1337"
"729","0.15970128774642944","0.15970128774642944","0.15970128774642944","1354","1354","1354"
"739","0.12609916925430298","0.12609916925430298","0.12609916925430298","1371","1371","1371"
"749","0.2558177709579468","0.2558177709579468","0.2558177709579468","1388","1388","1388"
"759","0.16564436256885529","0.16564436256885529","0.16564436256885529","1414","1414","1414"
"769","0.11049483716487885","0.11049483716487885","0.11049483716487885","1431","1431","1431"
"779","0.13953816890716553","0.13953816890716553","0.13953816890716553","1443","1443","1443"
"789","0.16970697045326233","0.16970697045326233","0.16970697045326233","1461","1461","1461"
"799","0.13993830978870392","0.13993830978870392","0.13993830978870392","1479","1479","1479"
"809","0.15172886848449707","0.15172886848449707","0.15172886848449707","1504","1504","1504"
"819","0.12522351741790771","0.12522351741790771","0.12522351741790771","1521","1521","1521"
"829","0.17709869146347046","0.17709869146347046","0.17709869146347046","1538","1538","1538"
"839","0.13764315843582153","0.13764315843582153","0.13764315843582153","1556","1556","1556"
"849","0.10852265357971191","0.10852265357971191","0.10852265357971191","1573","1573","1573"
"859","0.11950474232435226","0.11950474232435226","0.11950474232435226","1598","1598","1598"
"869","0.14072240889072418","0.14072240889072418","0.14072240889072418","1615","1615","1615"
"879","0.17425347864627838","0.17425347864627838","0.17425347864627838","1633","1633","1633"
"889","0.12872613966464996","0.12872613966464996","0.12872613966464996","1650","1650","1650"
"899","0.12876056134700775","0.12876056134700775","0.12876056134700775","1667","1667","1667"
"909","0.15998117625713348","0.15998117625713348","0.15998117625713348","1688","1688","1688"
"919","0.23387347161769867","0.23387347161769867","0.23387347161769867","1706","1706","1706"
"929","0.15542015433311462","0.15542015433311462","0.15542015433311462","1723","1723","1723"
"939","0.14016397297382355","0.14016397297382355","0.14016397297382355","1740","1740","1740"
"949","0.1572820246219635","0.1572820246219635","0.1572820246219635","1758","1758","1758"
"959","0.11970479041337967","0.11970479041337967","0.11970479041337967","1783","1783","1783"
"969","0.1085263341665268","0.1085263341665268","0.1085263341665268","1800","1800","1800"
"979","0.15169627964496613","0.15169627964496613","0.15169627964496613","1817","1817","1817"
"989","0.11463113874197006","0.11463113874197006","0.11463113874197006","1835","1835","1835"
"999","0.3469702899456024","0.3469702899456024","0.3469702899456024","1852","1852","1852"
"1009","0.14330798387527466","0.14330798387527466","0.14330798387527466","1873","1873","1873"
"1019","0.15581223368644714","0.15581223368644714","0.15581223368644714","1890","1890","1890"
"1029","0.12056880444288254","0.12056880444288254","0.12056880444288254","1908","1908","1908"
"1039","0.17299872636795044","0.17299872636795044","0.17299872636795044","1920","1920","1920"
"1049","0.13084489107131958","0.13084489107131958","0.13084489107131958","1938","1938","1938"
"1059","0.14720936119556427","0.14720936119556427","0.14720936119556427","1963","1963","1963"
"1069","0.12409565597772598","0.12409565597772598","0.12409565597772598","1981","1981","1981"
"1079","0.17214563488960266","0.17214563488960266","0.17214563488960266","1998","1998","1998"
"1089","0.11346901953220367","0.11346901953220367","0.11346901953220367","2015","2015","2015"
