"trainer/global_step","sam_distill_scannet - loss/total_step","sam_distill_scannet - loss/total_step__MIN","sam_distill_scannet - loss/total_step__MAX","sam_distill_scannet - _step","sam_distill_scannet - _step__MIN","sam_distill_scannet - _step__MAX"
"9","1.5431632995605469","1.5431632995605469","1.5431632995605469","23","23","23"
"19","1.312559723854065","1.312559723854065","1.312559723854065","41","41","41"
"29","0.9721865057945251","0.9721865057945251","0.9721865057945251","58","58","58"
"39","0.6418125033378601","0.6418125033378601","0.6418125033378601","75","75","75"
"49","0.5186148285865784","0.5186148285865784","0.5186148285865784","92","92","92"
"59","0.5355717539787292","0.5355717539787292","0.5355717539787292","118","118","118"
"69","0.5595424175262451","0.5595424175262451","0.5595424175262451","135","135","135"
"79","0.5088791847229004","0.5088791847229004","0.5088791847229004","152","152","152"
"89","0.6805990934371948","0.6805990934371948","0.6805990934371948","169","169","169"
"99","0.6194865703582764","0.6194865703582764","0.6194865703582764","187","187","187"
"109","0.5195422768592834","0.5195422768592834","0.5195422768592834","212","212","212"
"119","0.423684686422348","0.423684686422348","0.423684686422348","229","229","229"
"129","0.5017971396446228","0.5017971396446228","0.5017971396446228","242","242","242"
"139","0.48389458656311035","0.48389458656311035","0.48389458656311035","260","260","260"
"149","0.45380616188049316","0.45380616188049316","0.45380616188049316","277","277","277"
"159","0.4377221465110779","0.4377221465110779","0.4377221465110779","302","302","302"
"169","0.3696281611919403","0.3696281611919403","0.3696281611919403","320","320","320"
"179","0.436563640832901","0.436563640832901","0.436563640832901","337","337","337"
"189","0.4284554123878479","0.4284554123878479","0.4284554123878479","354","354","354"
"199","0.39485397934913635","0.39485397934913635","0.39485397934913635","371","371","371"
"209","0.33828943967819214","0.33828943967819214","0.33828943967819214","397","397","397"
"219","0.4710220396518707","0.4710220396518707","0.4710220396518707","414","414","414"
"229","0.41003865003585815","0.41003865003585815","0.41003865003585815","431","431","431"
"239","0.4667860269546509","0.4667860269546509","0.4667860269546509","448","448","448"
"249","0.3318953812122345","0.3318953812122345","0.3318953812122345","466","466","466"
"259","0.39672452211380005","0.39672452211380005","0.39672452211380005","486","486","486"
"269","0.4648602604866028","0.4648602604866028","0.4648602604866028","504","504","504"
